timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 06:32:24.654, 0, 100, 9043, 15360, 79, 60.61, 70.00
2026/09/17 06:32:24.660, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:32:24.873, 0, 69, 9043, 15360, 79, 65.44, 70.00
2026/09/17 06:32:24.880, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:25.087, 0, 100, 9043, 15360, 79, 65.93, 70.00
2026/09/17 06:32:25.096, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:25.304, 0, 100, 9043, 15360, 79, 65.93, 70.00
2026/09/17 06:32:25.310, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:25.518, 0, 100, 9043, 15360, 79, 64.81, 70.00
2026/09/17 06:32:25.524, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 06:32:25.732, 0, 100, 9043, 15360, 79, 66.42, 70.00
2026/09/17 06:32:25.738, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:32:25.945, 0, 92, 9043, 15360, 79, 66.12, 70.00
2026/09/17 06:32:25.952, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:26.159, 0, 100, 9043, 15360, 79, 64.42, 70.00
2026/09/17 06:32:26.170, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:26.378, 0, 100, 9043, 15360, 79, 66.51, 70.00
2026/09/17 06:32:26.384, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:26.592, 0, 96, 9043, 15360, 79, 64.59, 70.00
2026/09/17 06:32:26.600, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:26.807, 0, 97, 9043, 15360, 80, 67.35, 70.00
2026/09/17 06:32:26.814, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:27.021, 0, 100, 9043, 15360, 80, 65.04, 70.00
2026/09/17 06:32:27.027, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:27.234, 0, 100, 9043, 15360, 80, 66.47, 70.00
2026/09/17 06:32:27.241, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 06:32:27.448, 0, 100, 9043, 15360, 80, 65.28, 70.00
2026/09/17 06:32:27.454, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:27.662, 0, 92, 9043, 15360, 80, 67.84, 70.00
2026/09/17 06:32:27.668, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:27.876, 0, 100, 9043, 15360, 80, 65.18, 70.00
2026/09/17 06:32:27.885, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:28.092, 0, 100, 9043, 15360, 80, 64.26, 70.00
2026/09/17 06:32:28.099, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:28.306, 0, 100, 9043, 15360, 80, 65.44, 70.00
2026/09/17 06:32:28.314, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:32:28.522, 0, 100, 9043, 15360, 80, 64.85, 70.00
2026/09/17 06:32:28.528, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 06:32:28.735, 0, 92, 9043, 15360, 80, 67.21, 70.00
2026/09/17 06:32:28.742, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:28.949, 0, 100, 9043, 15360, 80, 64.95, 70.00
2026/09/17 06:32:28.958, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:32:29.165, 0, 100, 9043, 15360, 80, 65.24, 70.00
2026/09/17 06:32:29.172, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:29.379, 0, 100, 9043, 15360, 80, 65.97, 70.00
2026/09/17 06:32:29.387, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:32:29.594, 0, 100, 9043, 15360, 80, 68.14, 70.00
2026/09/17 06:32:29.606, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:29.813, 0, 100, 9043, 15360, 80, 65.04, 70.00
2026/09/17 06:32:29.820, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:30.027, 0, 100, 9043, 15360, 81, 65.24, 70.00
2026/09/17 06:32:30.034, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:30.241, 0, 100, 9043, 15360, 81, 64.36, 70.00
2026/09/17 06:32:30.253, 1, 0, 3, 15360, 44, 9.96, 70.00
2026/09/17 06:32:30.460, 0, 100, 9043, 15360, 81, 65.34, 70.00
2026/09/17 06:32:30.467, 1, 0, 3, 15360, 44, 10.06, 70.00
2026/09/17 06:32:30.674, 0, 93, 9043, 15360, 81, 67.51, 70.00
2026/09/17 06:32:30.682, 1, 0, 3, 15360, 44, 9.76, 70.00
2026/09/17 06:32:30.889, 0, 100, 9043, 15360, 81, 65.93, 70.00
2026/09/17 06:32:30.895, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:31.103, 0, 100, 9043, 15360, 81, 65.14, 70.00
2026/09/17 06:32:31.109, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:31.317, 0, 100, 9043, 15360, 81, 64.85, 70.00
2026/09/17 06:32:31.326, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:31.533, 0, 100, 9043, 15360, 81, 63.81, 70.00
2026/09/17 06:32:31.549, 1, 0, 3, 15360, 44, 10.15, 70.00
2026/09/17 06:32:31.756, 0, 93, 9043, 15360, 81, 64.65, 70.00
2026/09/17 06:32:31.768, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:31.976, 0, 100, 9043, 15360, 81, 65.14, 70.00
2026/09/17 06:32:31.982, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:32.189, 0, 100, 9043, 15360, 81, 66.18, 70.00
2026/09/17 06:32:32.196, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:32.404, 0, 100, 9043, 15360, 81, 64.42, 70.00
2026/09/17 06:32:32.416, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:32.623, 0, 100, 9043, 15360, 81, 68.33, 70.00
2026/09/17 06:32:32.629, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:32.836, 0, 100, 9043, 15360, 81, 64.99, 70.00
2026/09/17 06:32:32.844, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:33.051, 0, 100, 9043, 15360, 81, 65.24, 70.00
2026/09/17 06:32:33.058, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:33.265, 0, 100, 9043, 15360, 81, 64.85, 70.00
2026/09/17 06:32:33.272, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:33.479, 0, 100, 9043, 15360, 81, 65.34, 70.00
2026/09/17 06:32:33.487, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:33.694, 0, 93, 9043, 15360, 81, 66.28, 70.00
2026/09/17 06:32:33.700, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:33.908, 0, 100, 9043, 15360, 81, 64.46, 70.00
2026/09/17 06:32:33.914, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:34.121, 0, 100, 9043, 15360, 81, 65.44, 70.00
2026/09/17 06:32:34.132, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:34.340, 0, 100, 9043, 15360, 82, 65.89, 70.00
2026/09/17 06:32:34.346, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:34.553, 0, 100, 9043, 15360, 82, 65.10, 70.00
2026/09/17 06:32:34.560, 1, 0, 3, 15360, 44, 9.66, 70.00
2026/09/17 06:32:34.767, 0, 93, 9043, 15360, 82, 65.40, 70.00
2026/09/17 06:32:34.774, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:34.981, 0, 100, 9043, 15360, 81, 65.14, 70.00
2026/09/17 06:32:34.988, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:32:35.195, 0, 100, 9043, 15360, 82, 64.32, 70.00
2026/09/17 06:32:35.201, 1, 0, 3, 15360, 44, 10.15, 70.00
