timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 06:18:03.643, 0, 100, 7779, 15360, 76, 58.29, 70.00
2026/09/17 06:18:03.650, 1, 0, 3, 15360, 47, 14.01, 70.00
2026/09/17 06:18:03.862, 0, 67, 7779, 15360, 77, 76.61, 70.00
2026/09/17 06:18:03.873, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:04.080, 0, 100, 7779, 15360, 77, 65.53, 70.00
2026/09/17 06:18:04.090, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:04.297, 0, 100, 7779, 15360, 77, 65.53, 70.00
2026/09/17 06:18:04.304, 1, 0, 3, 15360, 47, 14.02, 70.00
2026/09/17 06:18:04.511, 0, 100, 7779, 15360, 77, 66.71, 70.00
2026/09/17 06:18:04.519, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:04.727, 0, 100, 7779, 15360, 77, 66.28, 70.00
2026/09/17 06:18:04.740, 1, 0, 3, 15360, 47, 14.02, 70.00
2026/09/17 06:18:04.947, 0, 100, 7779, 15360, 77, 66.32, 70.00
2026/09/17 06:18:04.954, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:05.160, 0, 82, 7779, 15360, 77, 69.94, 70.00
2026/09/17 06:18:05.168, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:05.375, 0, 99, 7779, 15360, 77, 65.30, 70.00
2026/09/17 06:18:05.384, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:05.591, 0, 100, 7779, 15360, 77, 65.93, 70.00
2026/09/17 06:18:05.598, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:05.804, 0, 100, 7779, 15360, 77, 64.96, 70.00
2026/09/17 06:18:05.811, 1, 0, 3, 15360, 47, 13.92, 70.00
2026/09/17 06:18:06.018, 0, 100, 7779, 15360, 77, 65.28, 70.00
2026/09/17 06:18:06.025, 1, 0, 3, 15360, 47, 13.92, 70.00
