timestamp,index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw,power.limit
2026/09/17 06:33:23.892, 0, 100, 9043, 15360, 75, 66.22, 70.00
2026/09/17 06:33:23.898, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:24.110, 0, 60, 9043, 15360, 76, 66.75, 70.00
2026/09/17 06:33:24.116, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:24.323, 0, 97, 9043, 15360, 76, 65.77, 70.00
2026/09/17 06:33:24.335, 1, 0, 3, 15360, 43, 10.25, 70.00
2026/09/17 06:33:24.542, 0, 100, 9043, 15360, 76, 65.93, 70.00
2026/09/17 06:33:24.554, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:33:24.761, 0, 100, 9043, 15360, 76, 66.36, 70.00
2026/09/17 06:33:24.767, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:24.974, 0, 82, 9043, 15360, 76, 64.10, 70.00
2026/09/17 06:33:24.981, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:25.188, 0, 100, 9043, 15360, 76, 66.47, 70.00
2026/09/17 06:33:25.194, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:25.402, 0, 100, 9043, 15360, 76, 65.22, 70.00
2026/09/17 06:33:25.409, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:25.616, 0, 100, 9043, 15360, 76, 65.87, 70.00
2026/09/17 06:33:25.625, 1, 0, 3, 15360, 43, 10.15, 70.00
2026/09/17 06:33:25.832, 0, 84, 9043, 15360, 76, 78.47, 70.00
2026/09/17 06:33:25.838, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 06:33:26.045, 0, 100, 9043, 15360, 76, 66.86, 70.00
2026/09/17 06:33:26.053, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 06:33:26.260, 0, 100, 9043, 15360, 76, 65.00, 70.00
2026/09/17 06:33:26.266, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 06:33:26.473, 0, 100, 9043, 15360, 76, 64.36, 70.00
2026/09/17 06:33:26.480, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 06:33:26.687, 0, 93, 9043, 15360, 76, 70.88, 70.00
2026/09/17 06:33:26.698, 1, 0, 3, 15360, 43, 9.96, 70.00
2026/09/17 06:33:26.906, 0, 94, 9043, 15360, 76, 65.95, 70.00
2026/09/17 06:33:26.912, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:27.120, 0, 100, 9043, 15360, 76, 66.96, 70.00
2026/09/17 06:33:27.127, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 06:33:27.334, 0, 100, 9043, 15360, 76, 65.44, 70.00
2026/09/17 06:33:27.341, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:27.548, 0, 100, 9043, 15360, 76, 51.22, 70.00
2026/09/17 06:33:27.555, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:27.762, 0, 81, 9043, 15360, 76, 66.38, 70.00
2026/09/17 06:33:27.772, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:27.979, 0, 100, 9043, 15360, 76, 66.02, 70.00
2026/09/17 06:33:27.988, 1, 0, 3, 15360, 43, 9.56, 70.00
2026/09/17 06:33:28.195, 0, 100, 9043, 15360, 76, 64.85, 70.00
2026/09/17 06:33:28.202, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:28.409, 0, 84, 9043, 15360, 76, 59.44, 70.00
2026/09/17 06:33:28.419, 1, 0, 3, 15360, 44, 9.86, 70.00
2026/09/17 06:33:28.626, 0, 100, 9043, 15360, 76, 64.61, 70.00
2026/09/17 06:33:28.640, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:28.847, 0, 100, 9043, 15360, 76, 64.12, 70.00
2026/09/17 06:33:28.853, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:29.060, 0, 100, 9043, 15360, 76, 65.73, 70.00
2026/09/17 06:33:29.068, 1, 0, 3, 15360, 43, 9.86, 70.00
2026/09/17 06:33:29.275, 0, 100, 9043, 15360, 76, 73.29, 70.00
2026/09/17 06:33:29.288, 1, 0, 3, 15360, 43, 9.76, 70.00
2026/09/17 06:33:29.496, 0, 90, 9043, 15360, 76, 65.53, 70.00
2026/09/17 06:33:29.502, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:29.709, 0, 100, 9043, 15360, 76, 66.22, 70.00
2026/09/17 06:33:29.715, 1, 0, 3, 15360, 43, 9.66, 70.00
2026/09/17 06:33:29.922, 0, 100, 9043, 15360, 76, 65.67, 70.00
2026/09/17 06:33:29.934, 1, 0, 3, 15360, 44, 9.66, 70.00
